study,treatment,responders,sampleSize
1,1,35,2100
1,2,37,2092
2,1,366,7339
2,2,380,7332
3,1,4,126
3,2,4,128
4,1,225,3485
4,2,221,3494
5,1,260,8212
5,2,269,8280
6,1,111,2679
6,2,89,2701
7,1,130,4732
7,3,122,4731
8,1,383,7396
8,3,340,7356
9,1,30,1592
9,3,15,1591
10,1,278,4672
10,3,219,4668
11,1,46,1649
11,3,44,1648
12,1,158,3024
12,3,156,3034
13,1,58,614
13,4,51,608
14,1,184,2747
14,4,341,5499
15,1,273,2371
15,4,227,2373
16,1,202,1867
16,4,187,1863
17,1,137,2333
17,4,172,4687
